title,date,author_organization,geography_focus,type,url,abstract,focal_point,email,problem_addressed,solution,ai_methods,value_added,keywords,summary,sdgs,cgiar_center,impact_area,Main Author,Corresponding Authors,CGIAR Main Center
Use of drones to monitor water availability and quality in irrigation canals and reservoirs for improving water productivity and enhancing precision agriculture in smallholder farms,2022,"Mabhaudhi, Tafadzwanashe; Bangira, T.; Sibanda, M.; Cofie, Olufunke",No Data,Report,https://hdl.handle.net/10568/128235,"The report provides a methodology protocol for measuring temporal and spatial changes in water quantity and quality using drone imagery. The procedure is informed by the need for effective and sustainable water resource use to enhance water productivity under climate change. It is based on a literature review that allows the identification of appropriate processes, materials, and procedures for water monitoring, including mapping spatial and temporal dynamics of reservoirs, measurement of water quality parameters, and flood mapping of irrigation canals.",Tafadzwanashe Mabhaudhi,No Data,Alleviating water shortages by decreasing water footprint in sugarcane production,use of UAVs for gathering real-time aerial information about detecting and mapping flooding extents,Machine Learning; Deep Learning; Nlp,provides first responders with information to better prioritize resources in dangerous situations,water availability; water quality; monitoring; irrigation canals; reservoirs; water productivity; precision agriculture; smallholders; unmanned aerial vehicles; imagery; remote sensing; floods; mapping; water levels; parameters,"This publication discusses the use of UAVs for flood risk assessment and response. It highlights the challenges of accurately delineating floods in crop fields due to mixed pixels affecting spectral profiles. The high spatial, spectral, and temporal resolution of UAV-mounted sensors is emphasized for better estimation of flooded areas. The use of drone images for stream flooding provides detailed measurements needed for effective monitoring and allows for improved discharge predictions based on various derived metrics.",No Data,IWMI,No Data,"Mabhaudhi, Tafadzwanashe","Bangira, T.; Sibanda, M.; Cofie, Olufunke",IWMI
Agricultural water management innovations to build resilient food systems in West Africa,2021,International Water Management Institute,Ghana,Brief,https://hdl.handle.net/10568/114235,No Data,Thai Thi Minh,t.minh@cgiar.org,improving AWM has considerable potential to enhance food system resilience and livelihoods,small-scale water storage and irrigation technologies,Machine Learning; Deep Learning; Nlp,translate into tangible and long-term benefits for farmers and their communities,water management; sustainable agriculture; food systems; food security; resilience; climate change; water use efficiency; small scale systems; farmer-led irrigation; technology; digital innovation; private sector; rural areas; livelihoods; innovation scaling,"This publication outlines agricultural water management innovations aimed at enhancing resilient food systems within West Africa, addressing challenges such as climate change and food security, and is supported by the International Water Management Institute (IWMI).",No Data,IWMI,No Data,International Water Management Institute,,IWMI
"CGIAR Initiative on Fragility, Conflict and Migration (FCM) â€“ Presentation at HSA-IFPRI Amman event",2023,"Kosec, Katrina; LÃ¤derach, Peter R.D.; Ruckstuhl, Sandra",No Data,Presentation,https://hdl.handle.net/10568/130742,No Data,Dr. Katrina Kosec,No Data,Understand conflict hotspots and migration corridors; Target beneficiaries in emergencies.,Research studying social protection programming as a means of anticipating and preventing crises and conflict,Machine Learning; Deep Learning; Nlp,"Promote stable livelihoods, resilience, food and nutrition security, gender equity, opportunities for youth, and social cohesion.",policies; conflicts; food security; extreme weather events; shocks; migrants,"The document discusses various initiatives addressing the connectivity between humanitarian efforts and development in fragile contexts. Programs such as BRIDGE, STABILIZE, and ACCELERATE aim to improve understanding of conflict dynamics, generate evidence for policy impacts, and scale local innovations to enhance resilience and social inclusion. By involving local partners and leveraging sustainability principles, these initiatives seek to support vulnerable populations.",No Data,No Data,"Nutrition, health and food security","Kosec, Katrina","LÃ¤derach, Peter R.D.; Ruckstuhl, Sandra",IWMI
Use of Earth Observation data and Google Earth Engine monitoring and early warning of floods and droughts,2022,"Amarnath, Giriraj",Zambia,Report,https://hdl.handle.net/10568/127065,"A total of 24 participants were represented from 8 institutions (WARMA, ZMD, Ndola City Council, IAPRI, Mulungushi University, ZRCS, NRSC and ZAMSTATS). Technical experts introduced with a presentation on the potential application of flood and drought monitoring and early warning using geospatial data, tools and models including earth engine (EE). The various example presented to participants to get an understanding of the EE capabilities and how the training provides an opportunity to utilize the remote sensing products in a timely decision making process. Later the experts delivered a lecture on the basics of remote sensing and GIS to help understand the characteristics of remote sensing sensors and their capabilities in mapping and monitoring environmental issues.",Giriraj Amarnath,a.giriraj@cgiar.org,monitoring flood and drought indicators for near real-time early warning information for timely early action,EE data analysis and ndvi remote sensing products,Machine Learning; Deep Learning; Nlp,The tools can be institutionalized for monitoring flood and drought indicators,agriculture; climate-smart agriculture; climate change; monitoring systems,"The document outlines collaborative efforts involving the DIWASA initiative, AICCRA, and the CGIAR ClimBeR initiative aimed at organizing training for flood forecasting and early warning in northern Zambia, supported by different funding sources including the World Bank and the Helmsley Trust. It emphasizes strengthening institutional collaboration and developing specific triggers for early warning.",No Data,No Data,No Data,"Amarnath, Giriraj",,IWMI
Tracking adaptation in the agrifood sector,2023,"Marshall, Suzie; Bowa, Emma; Crane, Todd A.; Njuguna, Lucy; Nowak, Andreea C.; Ravindranath, Darshini; Mukherji, Aditi",No Data,Report,https://hdl.handle.net/10568/135251,No Data,Suzie Marshall,a.mukherji@cgiar.org,Development of drought indicators Using Machine Learning Algorithm,Machine Learning Algorithm for drought indicators,Machine Learning; Deep Learning; Nlp,Tracking these financial inputs can highlight unmet needs and help redirect funds.,climate change; agrifood systems; food systems,"This publication focuses on the development of drought indicators using machine learning algorithms, particularly in the context of Zambia. It aims to enhance the understanding of climate adaptation mechanisms and their effectiveness through advanced analytical tools.",SDG 2; SDG 13,CIMMYT,Climate adaptation and mitigation,"Marshall, Suzie","Bowa, Emma; Crane, Todd A.; Njuguna, Lucy; Nowak, Andreea C.; Ravindranath, Darshini; Mukherji, Aditi",IWMI
Ensuring sustainable crop production when yield gaps are small: A data-driven integrated assessment for wheat farms in Northwest India,2025,"Hari S. Nayak; Silva, JoÃ£o Vasco; Parihar, Chiter Mal; Jat, Mangi Lal; Singh, Rajbir; Kumar, Rakesh; Sena, Dipak Ranjan; Jat, Hanuman Sahay; Sidhu, Harminder Singh; Krupnik, Timothy J.; Sapkota, Tek B.",India,Journal Article,https://hdl.handle.net/10568/169931,"Northwest India achieved remarkable wheat productivity gains during the past decades. However, this has been accompanied by increasing input levels and intensive production practices, raising questions about the economic and environmental sustainability of current cropping systems. A multicriteria integrated assessment is required for wheat farms in the region to understand the scope for cleaner wheat production in the future. Production practices from irrigated wheat fields (nâ€¯=â€¯3928) were evaluated for multiple sustainability indicators, namely yield gap, nitrogen (N)-use efficiency, profitability, and greenhouse gas emissions. Stochastic frontier analysis was combined with simulated potential yield (Yp) data to identify the causes of wheat yield gaps in the region. N-use efficiency was estimated by calculating the partial factor productivity of N, profitability was computed based on reported input-output amounts and prices, and greenhouse gas emissions were quantified using the Mitigation Options Tool (MOT). These indicators were subjected to a multicriteria assessment using the Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) under different scenarios (i.e., different weights for different indicators). For each scenario, farmersâ€™ fields were classified as most efficient, efficient, less efficient, and least efficient, and random forest was used to identify the most important management practices governing the field classification. Wheat yield gaps were small (25â€“30â€¯% of Yp or 2.4â€¯t haâˆ’1) and mostly attributed to the technology yield gap (ca. 20â€¯% of Yp or 1.5â€¯t haâˆ’1). Ranking and grouping the farmersâ€™ fields in the scenario with equal weights for all indicators revealed that at least 25â€¯% of the fields had very high greenhouse gas emissions (>1500â€¯kg CO2-eq haâˆ’1) at a productivity level of <â€¯4.5â€¯t haâˆ’1, and that it is possible to produce wheat sustainably without compromising yields in Northwest India, as indicated by the performance of the most efficient fields. Tillage intensity and N application rates can be adjusted for least efficient fields (<10â€¯% least efficient fields adopting zero tillage vs >80â€¯% most efficient fields adopting zero tillage) to achieve an overall objective of higher yield, lower greenhouse gas emissions, more profit and higher N-use efficiency, whereas residue retention and tillage intensity would need to be prioritized for minimizing greenhouse gas emissions. For the most efficient fields the decrease in greenhouse gas emissions was always associated with a decline in yield level. The most important management practices governing the field classification included the crop establishment method used for the previous rice crop, the number of tillage operations, residue retention, and the N fertilizer rate for wheat. The study provides a data-driven approach to screen trade-offs between performance indicators and to identify the management practices that can deliver sustainable and cleaner crop production in the future.","Nayak, H.S.",t.sapkota@cgiar.org,Context-dependent agricultural intensification pathways to increase rice production in India.,Interpretable machine learning methods to explain on-farm yield variability of high productivity wheat in Northwest India.,Machine Learning; Deep Learning; Nlp; Random Forest,provides a blueprint for future integrated assessments of crop production built upon data-driven methods,sustainable agriculture; tillage; crop management; nitrogen; assessment; greenhouse gas emissions; wheat,"This publication discusses pathways and determinants of sustainable energy use for rice farms in India, focusing on the integration of machine learning techniques to enhance agricultural productivity and resource efficiency. It provides insights into how agricultural practices can adapt to environmental changes while improving yield and efficiency.",SDG 2; SDG 13,CIMMYT,"Nutrition, health and food security",Hari S. Nayak,"Silva, JoÃ£o Vasco; Parihar, Chiter Mal; Jat, Mangi Lal; Singh, Rajbir; Kumar, Rakesh; Sena, Dipak Ranjan; Jat, Hanuman Sahay; Sidhu, Harminder Singh; Krupnik, Timothy J.; Sapkota, Tek B.",IWMI
Innovations in water quality monitoring and management in Africa: towards developing an African Water Quality Program (AWaQ),2024,"Mukuyu, Patience; Warner, S.; Chapman, D. V.; Jayathilake, Nilanthi; Dickens, Chris; Mateo-Sagasta, Javier",No Data,Working Paper,https://hdl.handle.net/10568/144162,"The African Ministersâ€™ Council on Water (AMCOW) Secretariat committed to design and implement an African Water Quality Program (AWaQ) in its Strategic Operational Plan (2020-2024) considering the guiding frameworks it uses such as the Africa Water Vision 2025, United Nations Sustainable Development Goals (SDGs), and the African Union Agenda 2063: The Africa We Want. AMCOW reached out to the International Water Management Institute (IWMI) to support the development of such a program.
 
 AWaQ builds on the rich experiences and lessons learned from past and ongoing regional and subregional water quality initiatives across Africa by different players, including African Union institutions, and the wider members of the World Water Quality Alliance (WWQA), as well as the AMCOW African Water and Sanitation Sector Monitoring and Reporting System (WASSMO).
 
 The five phases of developing an African Water Quality Program (AWaQ) are explained in the following papers:
 
 1. State of Water Quality Monitoring and Pollution Control in Africa (phase 1-2)
 2. Innovations in Water Quality Monitoring and Management in Africa (phase 3-4) 
 3. A Framework for an African Water Quality Program (AWaQ) (phase 5)
 4. Country Water Quality Profiles
 
 This paper is the second in the above list and documents the greatest innovations in water quality monitoring and management in Africa, and proposes interventions to strengthen Africaâ€™s current water quality monitoring and management efforts. Innovations related to monitoring program design, analytical techniques and instruments, deployment of instrumentation and approaches to water quality monitoring are presented together with their applicability and suitability for implementation in Africa. Similarly, water quality management interventions â€” policy and regulatory mechanisms, catchment-based management, data management and sharing, wastewater reuse and nature-based solutions, among others â€” are examined. The most suitable interventions are proposed for African contexts using criteria such as affordability, scalability and flexibility. 
 
 Key findings of this paper highlight the following:
 
 1. There are numerous innovations within water quality monitoring and management. However, not all of them may be suitable for implementation in resource-constrained environments characteristic of many parts of Africa. For example, statistical analysis and modelling may require large amounts of existing monitoring data currently unavailable in most African countries. Nonetheless, other interventions such as the priority monitoring approach can be beneficial in optimizing resource utilization. Similarly, technological interventions such as multi-parameter sensors for basic water quality variables are now widely available and affordable in the provision of in situ results and lessening the need for laboratory analysis. 
 2. Available and existing traditional methods of water quality monitoring and management offer a good starting point to further strengthen and streamline efforts for increasing efficiency and effectiveness. Currently available laboratory facilities may benefit from instrumentation upgrades and continuous staff training. 
 3. There is scope for community and citizen engagement in the various processes of water resources monitoring and management. There is evidence that this enables success where governments do not have the monitoring capacity or adequate resources.",Patience Mukuyu,IWMI-Publications@cgiar.org,Water pollution from agriculture,On-site sanitation treatment systems that produce energy or fertilizers.,Machine Learning; Deep Learning; Nlp; Random Forest; Computer Vision,Supports evidence-based management of water resources.,water quality; monitoring; innovations; technology; policies; regulations; guidelines; standards; laboratory techniques; instrumentation; analytical methods; testing; water resources; catchment areas; transboundary waters; groundwater; contaminants; water pollution; pollution control; parameters; bio-assays; human health; awareness-raising; data management; wastewater treatment; water reuse; nature-based solutions; intervention; community involvement; citizen science; capacity development; training; best practices; sustainable development goals; goal 6 clean water and sanitation; earth observation satellites; sensors,"The publication discusses the state of water quality monitoring and pollution control in Africa, highlighting the challenges posed by agricultural pollution. It aims to develop an African Water Quality Program (AWaQ) to address these issues through better data exchange and management practices.",SDG 2; SDG 13; SDG 6,IWMI,No Data,"Mukuyu, Patience","Warner, S.; Chapman, D. V.; Jayathilake, Nilanthi; Dickens, Chris; Mateo-Sagasta, Javier",IWMI
Ghana Irrigation Sector Mapping,2022,"Delinthe, Luken; Zwart, Sander J.",Ghana,Report,https://hdl.handle.net/10568/126215,"The irrigation sector of Ghana was mapped with the purpose to inform private sector parties on the potential for developing small-scale irrigation. It is shown that offcial schemes only amount 17,000 ha, wheras the area under farmer-led irrigation development is estimated 189,000 ha. Large potentials remain untapped and another 700,000 households could benefit from support to invest in irrigation equipment. 
 The reports shows key information in figures, maps and other visuals.; The irrigation sector of Ghana was mapped with the purpose to inform private sector parties on the potential for developing small-scale irrigation. It is shown that offcial schemes only amount 17,000 ha, wheras the area under farmer-led irrigation development is estimated 189,000 ha. Large potentials remain untapped and another 700,000 households could benefit from support to invest in irrigation equipment. 
 The reports shows key information in figures, maps and other visuals.",IWMI WEST AFRICA,No Data,Economic impacts of climate change on cereal production: Implications for sustainable agriculture in Northern Ghana,The promotion of irrigation technologies is a key pathway for creating resilience.,Machine Learning; Deep Learning; Nlp; Random Forest,This is a great economic and environmental alternative for smallholder farmers.,farmers; agriculture; climate-smart agriculture; irrigation systems,"The document discusses the challenges of tracking agricultural development quantitatively and qualitatively at the national level in Ghana, highlighting irrigation typologies and referencing various sources, including a recent World Bank report from 2020. It emphasizes the complexities in gathering precise irrigation data and mentions important frameworks and studies related to irrigation development in the region.",SDG 2; SDG 13,IWMI,No Data,"Delinthe, Luken","Zwart, Sander J.",IWMI
A review of greenhouse gas emissions from selected wetlands in the Vietnamese Mekong Delta,2023,"Farmer, J.; Ghosh, Surajit; Rajakaruna, Punsisi; Holmatov, Bunyod",Vietnam,Report,https://hdl.handle.net/10568/139412,"Nearly half of Vietnamâ€™s wetlands are concentrated in the Vietnamese Mekong Delta. Wetlands play an important role in carbon storage while contributing to Vietnamâ€™s biological diversity and economy. This report reviews the wider literature to understand how land use within the Vietnamese Mekong Delta and likely management scenarios can impact greenhouse gas emissions. The report is structured into six main sections covering an introduction, key characteristics of the Vietnamese Mekong Delta wetlands, literature-based greenhouse gas emissions assessments, a review of commonly available models for estimating greenhouse gas emissions, estimations of emissions using a select number of reviewed models, with a focus on paddy rice, and finally ends with some conclusions.",No Data,No Data,No Data,No Data,Machine Learning; Deep Learning; Nlp; Random Forest,No Data,greenhouse gas emissions; wetlands; models; land-use change; mangroves,"This publication discusses the use of machine learning for crop mapping in the Mekong River Delta, Vietnam, under the International Water Management Institute. It presents the CGIAR Initiative on Low Emission Food Systems and its implications for promoting sustainable agricultural practices in the region.",SDG 2; SDG 13; No Data,IWMI,No Data,"Farmer, J.","Ghosh, Surajit; Rajakaruna, Punsisi; Holmatov, Bunyod",IWMI
Technical architecture for the development and deployment of Climate Smart Governance (CSG) Dashboard,2024,"Alahacoon, Niranga; Amarnath, Giriraj; Kuruganti, P. N.; Racherla, S. K.",No Data,Report,https://hdl.handle.net/10568/169195,No Data,Niranga Alahacoon,n.alahacoon@cgiar.org,addressing climate-related challenges,Development and deployment of the Climate Smart Governance (CSG) platform,Machine Learning; Deep Learning; Nlp; Random Forest,"Empowers public and private sector entities to develop effective, coordinated adaptation policies.",climate resilience; decision support,"The technological development and deployment of the Climate Smart Governance (CSG) platform have been successfully accomplished, prioritizing a foundation of security, scalability, and regulatory compliance.",SDG 2; SDG 13,IWMI,No Data,"Alahacoon, Niranga","Amarnath, Giriraj; Kuruganti, P. N.; Racherla, S. K.",IWMI
Multicriteria based priority mapping: charting agroecological pathways in India,2024,"Kumar, Gopal; Sikka, Alok; Behera, Abhijit; Malaiappan, Sudharsan",India,Report,https://hdl.handle.net/10568/172484,"The report, titled ""Multicriteria-Based Priority Mapping: Charting Agroecological Pathways in India,"" presents a comprehensive analysis aimed at addressing Indiaâ€™s dual challenges of achieving food security and ensuring environmental sustainability. India, with 18% of the global population and access to only 2.4% of the worldâ€™s land and 4% of renewable water resources, faces immense pressure to adopt resource-efficient and sustainable agricultural practices. This study employs a robust multi-criteria decision-making framework, integrating diverse datasets and stakeholder inputs, to guide the prioritization of agroecological interventions.
 
 Two distinct agroecological priority maps were developed in the study. The first map reflects the priorities of Agricultural System Actors and Stakeholders (ASAS), who focus on rainfed, low-productivity zones to minimize risks to food security. The second map incorporates the perspectives of agroecological advocates, who emphasize the restoration of environmentally degraded, high-input agricultural regions. Both maps integrate critical biophysical, climatic, and agricultural factors, including net primary productivity, fertilizer consumption, rainfall patterns, groundwater levels, and aridity indices, among others. These criteria were weighted using the Analytical Hierarchy Process (AHP), ensuring alignment with the specific objectives of each stakeholder group.
 
 The studyâ€™s findings highlight high-priority zones for agroecological practices that balance yield improvements and environmental restoration. Approximately 1.5% of agricultural land shows overlap in high-priority class between the two stakeholder groups, indicating consensus on some areas. However, the remaining land reveals significant tradeoffs between food security and environmental sustainability objectives, underscoring the complexity of harmonizing these goals. The maps provide insights into spatial prioritization, identifying key zones for targeted interventions, including regions prone to resource degradation and climate vulnerability.
 
 This report emphasizes the importance of participatory decision-making, dynamic policy formulation, and periodic updates to the agroecological priority maps. It advocates for enhancing stakeholder engagement through wider consultations and workshops, adopting advanced analytical techniques like Principal Component Analysis (PCA), and integrating new data layers to improve map precision. Furthermore, the study highlights the need for multilocation trials to validate the findings and tailor agroecological practices to diverse agro-climatic conditions. By aligning regional needs with national and global sustainability goals, the proposed methodology offers a pathway to scale agroecological practices effectively.
 
 The report concludes with recommendations to refine the priority maps, build capacity and awareness among stakeholders, and integrate findings into national policies and resource allocation strategies. These efforts aim to promote sustainable farming systems, ensuring food security for future generations while mitigating environmental degradation and enhancing resilience to climate variability. This pioneering approach to agroecological prioritization provides a replicable model for addressing similar challenges globally, emphasizing the need for contextual adaptation to local conditions.",Gopal Kumar,g.kumar@cgiar.org,Limited stakeholder input in priority mapping and need for enhanced accuracy and inclusivity.,Use of advanced analytical techniques such as Principal Component Analysis (PCA) or machine learning tools.,Machine Learning; Deep Learning; Nlp; Random Forest,"Guides targeted interventions in high-priority areas, focusing on water conservation, soil restoration, and sustainable agricultural practices.",agroecology; food security; stakeholders; decision making,"This publication presents a multicriteria-based priority mapping approach to chart agroecological pathways in India. It aims to guide decision-makers in promoting sustainable agriculture within the context of agroecological principles. The publication is part of a CGIAR initiative focusing on agroecology across various food, land, and water systems to better support small-scale farmers.",SDG 2; SDG 13,IWMI,No Data,"Kumar, Gopal","Sikka, Alok; Behera, Abhijit; Malaiappan, Sudharsan",IWMI
Direct seeded rice in Haryana (India) ABY districts: impact and lessons for scaling,2025,"Mutum, Lamnganbi; Mizan, Syed Adil; Bhatpuria, Dhyey; Taneja, Garima; Mitra, Archisman; Gupta, S. K.; Sikka, Alok",India,Report,https://hdl.handle.net/10568/174881,"Rice is a staple crop in India, traditionally cultivated using the Transplanted Puddled Rice (TPR) method. This traditional method, while effective and very popular amongst farmers, is highly labour, water, and energy-intensive, that leads to significant groundwater depletion and higher energy usage in pumping groundwater. In response to these challenges, the Direct Seeded Rice (DSR) method has been introduced as a more sustainable alternative. DSR involves sowing seeds directly into the field, eliminating the need for growing and transplanting seedlings. This method, tested in various field trials, promises to have several benefits, including water savings, reduced labour and production costs, higher economic returns, and lower methane emissions. However, the success in farmer fields when adopted at scale outside trials remains to be analysed critically.
 
 In that context, this study was commissioned through a MoU with National Project Management Unit (NPMU), Atal Bhujal Yojana (ABY). ABY, also known as Atal Jal, is a central sector scheme aimed at sustainable groundwater management with community participation. Launched in December 2019, ABY focuses on improving groundwater management in water-stressed areas across seven states, including Haryana. The adoption of DSR in Haryana has been gradual but promising. The area under rice cultivation in the state has increased significantly over the years, with initial efforts to introduce DSR beginning around 2009. The state government has played a crucial role in promoting DSR by offering financial incentives to farmers. In 2022, an incentive of INR 4000 per acre1 was introduced to encourage farmers to adopt DSR. Given its uptake in Haryana, the objective of this study is to assess the socio-economic and environmental benefits of DSR, identify the challenges, and offer recommendations for scaling up this technology in Haryana and other regions.
 
 The study employed a multi-faceted approach including qualitative surveys with stakeholders, focus group discussions, field visits, and a large-scale quantitative survey (sample size is 809) of DSR and TPR farmers across selected districts in Haryana to assess the impact of DSR. These farmer-level sources were complemented by water flow meter data analysis and remote sensing analysis.",Lamnganbi Mutum,No Data,"Weed management is the most significant barrier, with 56% of farmers reporting it as a major issue.","DSR presents a promising alternative to traditional rice cultivation methods, especially in water-stressed areas.",Machine Learning; Deep Learning; Nlp; Random Forest,"DSR can significantly contribute to mitigating groundwater depletion issues, supporting the broader mission of sustainable groundwater management.",agronomic practices; direct sowing; rice; groundwater irrigation; policies; farmers,"This publication discusses the impact and lessons learned from direct seeded rice practices in Haryana, India, focusing on lessons relevant for scaling efforts. The work involved multiple authors affiliated with the International Water Management Institute (IWMI) and contributed insights under various CGIAR initiatives.",SDG 2; SDG 13,IWMI,No Data,"Mutum, Lamnganbi","Mizan, Syed Adil; Bhatpuria, Dhyey; Taneja, Garima; Mitra, Archisman; Gupta, S. K.; Sikka, Alok",IWMI
Evidence gap map on impacts of Socio-Technical Innovation Bundles (STIBs) on womenâ€™s empowerment and resilience. CGIAR Initiative on Gender Equality (HER+),2023,"Pasha, Atika; Khan, Sarah; UrueÃ±a, Viviana; Huonen, Ruthus; Furlani, Irene; Delgerchuluun, Ankhbayar; Puskur, Ranjitha; Mishra, Avni; Mukhopadhyay, Prama; Gartaula, Hom Nath; Nchanji, Eileen; Ketema, Dessalegn Molla; Lutomia, Cosmas Kweyu; Everisto, Mapedza",Ethiopia; India; Kenya,Report,https://hdl.handle.net/10568/135070,"A combination of factors, including policies, technological advancements in response to climate change
 and social needs, and changes in market demand, have triggered considerable agricultural transformations
 in recent decades (Timmer, 1988; Viswanathan et al., 2012; Thanh et al., 2021). Yet, technological
 innovations alone do not necessarily make agricultural transformations sustainable and inclusive over
 time. Several actors are now focusing on introducing bundled interventions combining technical and/or
 technological innovations with social innovations. Their aim is to apply a multi-pronged approach to agricultural
 transformation that simultaneously allows technological advancements, with increased adoption
 of new methods and tools, and alleviates barriers in access to inputs and credits. Gwynne and Ortiz (1997)
 provide a clear example from Chile, proving how institutional changes in land ownership, expansion of
 productive investments, and provision of financial inputs to farmers succeeded in promoting agricultural
 development, especially increasing agricultural output and labour productivity, among others. Also, Joshi
 and Joshi (2019) reckon the importance of policies in Nepal and their significance in combination with
 technology adoption to avoid negative impacts on food production and access and availability of water
 and energy.
 Although these bundled interventions target all farmers in principle, women farmers are often disadvantaged,
 as the bundle configuration does not consider their preferences, capacities and/or capabilities. This
 â€œfits allâ€ approach is particularly problematic as women constitute about half of the agricultural labour
 force, and if they face greater difficulties in accessing these bundles, and reaping the benefits derived
 from them, then these bundles fail to empower half of the target population. With the intention to bridge
 the existing gender gaps, the socio-technical innovation bundles or STIBs need to be gender-responsive
 and align with womenâ€™s preferences, attitudes, and capacities.
 In order to understand which configurations of STIBs can be most beneficial for women, existing evidence
 related to STIB interventions and their impact on womenâ€™s resilience and empowerment needs to be examined.
 Therefore, this evidence gap map reviews the existing literature on the effect of different STIBs
 and provides evidence on how and whether these bundles empower women and enhance their resilience.
 This evidence gap map will guide and inform decision-making about the design and implementation of
 STIBs in different contexts and how enabling factors can improve or modify their performance; A combination of factors, including policies, technological advancements in response to climate change
 and social needs, and changes in market demand, have triggered considerable agricultural transformations
 in recent decades (Timmer, 1988; Thanh et al., 2021). Yet, technological
 innovations alone do not necessarily make agricultural transformations sustainable and inclusive over
 time. Several actors are now focusing on introducing bundled interventions combining technical and/or
 technological innovations with social innovations. Their aim is to apply a multi-pronged approach to agricultural
 transformation that simultaneously allows technological advancements, with increased adoption
 of new methods and tools, and alleviates barriers in access to inputs and credits. Gwynne and Ortiz (1997)
 provide a clear example from Chile, proving how institutional changes in land ownership, expansion of
 productive investments, and provision of financial inputs to farmers succeeded in promoting agricultural
 development, especially increasing agricultural output and labour productivity, among others. Also, Joshi
 and Joshi (2019) reckon the importance of policies in Nepal and their significance in combination with
 technology adoption to avoid negative impacts on food production and access and availability of water
 and energy.
 Although these bundled interventions target all farmers in principle, women farmers are often disadvantaged,
 as the bundle configuration does not consider their preferences, capacities and/or capabilities. This
 â€œfits allâ€ approach is particularly problematic as women constitute about half of the agricultural labour
 force, and if they face greater difficulties in accessing these bundles, and reaping the benefits derived
 from them, then these bundles fail to empower half of the target population. With the intention to bridge
 the existing gender gaps, the socio-technical innovation bundles or STIBs need to be gender-responsive
 and align with womenâ€™s preferences, attitudes, and capacities.
 In order to understand which configurations of STIBs can be most beneficial for women, existing evidence
 related to STIB interventions and their impact on womenâ€™s resilience and empowerment needs to be examined.
 Therefore, this evidence gap map reviews the existing literature on the effect of different STIBs
 and provides evidence on how and whether these bundles empower women and enhance their resilience.
 This evidence gap map will guide and inform decision-making about the design and implementation of
 STIBs in different contexts and how enabling factors can improve or modify their performance; Viswanathan et al., 2012",Sharma et al.,No Data,Two major challenges to programme implementation are the inefficiencies within governmental entities that deter timely implementation of initiatives on the ground and the weak market linkages that are not properly established or understood by farmers.,Targeted interventions could empower women by introducing technology that does not inhibit their domestic chores,Machine Learning; Deep Learning; Nlp; Random Forest,hope to be informative for policymakers,gender; resilience; empowerment; bundling,"This report reviews the impact of socio-technical innovation bundles (STIBs) on womenâ€™s empowerment and resilience. It highlights that no clear trends emerge regarding empowerment indicators across different regions, with African studies showing some positive effects. The report emphasizes the need for targeted interventions and access to financial resources to enhance empowerment outcomes. It suggests that introducing technology can assist women without disrupting their domestic responsibilities. Additionally, integrating women and youth in the early stages of interventions is noted as crucial for achieving desired impacts.",SDG 2; SDG 13,CGIAR,"Climate adaptation and mitigation; Gender equality, youth and social inclusion","Pasha, Atika","Khan, Sarah; UrueÃ±a, Viviana; Huonen, Ruthus; Furlani, Irene; Delgerchuluun, Ankhbayar; Puskur, Ranjitha; Mishra, Avni; Mukhopadhyay, Prama; Gartaula, Hom Nath; Nchanji, Eileen; Ketema, Dessalegn Molla; Lutomia, Cosmas Kweyu; Everisto, Mapedza",IWMI
